"Name","City","Neighborhood","Delivery Min","Delivery Fee","Rating","Reviews"
"Koch's Deli","philadelphia","belmont","$12","$3.99","80","197"
"Scoop Deville","philadelphia","belmont","$15","$2","80","323"
"Oregon Steaks","philadelphia","belmont","$10","$1","70","95"
"Masala Kitchen Kati Rolls & Platters","philadelphia","belmont","$20","$1.99","80","180"
"Pho 20","philadelphia","belmont","$9","$1.99","80","75"
"Xi'an Sizzling Woks","philadelphia","belmont","$15","$1","70","154"
"Ochatto Hot Pot","philadelphia","belmont","$10","$3.99","80","35"
"Mad Greek's Pizza","philadelphia","belmont","$6","$2","80","45"
"Machi Sushi Bar","philadelphia","belmont","$12","","70","128"
"Sakura","philadelphia","belmont","$10","$1","70","111"
"Abner's","philadelphia","belmont","","$2","70","135"
"Best China Inn","philadelphia","belmont","$10","$2","70","67"
"TO-KAI Sushi & Steakhouse","philadelphia","blue-grass","$25","","80","146"
"Solly Pizza","philadelphia","blue-grass","","$1","80","19"
"Suzani Restaurant","philadelphia","blue-grass","$20","","80","46"
"Johnny G's Famous Pizza","philadelphia","blue-grass","$10","$1","90","9"
"Philly's Seafood","philadelphia","blue-grass","$10","$2","80","17"
"Big Daddy Pizza","philadelphia","blue-grass","$5","$1.5","70","31"
"Jean's Pizzeria & Grill","philadelphia","blue-grass","$10","$1","70","18"
"Four Seasons Diner","philadelphia","blue-grass","$5","$2","70","116"
"Mega Quality Pizza","philadelphia","blue-grass","$10","$1","80","9"
"Fat Jack's BBQ - Philadelphia","philadelphia","blue-grass","$15","$3","70","109"
"Stella's Pizza","philadelphia","blue-grass","$5","$1.5","70","20"
"Best In Town Pizza","philadelphia","blue-grass","$15","$2","70","23"
"Salvito's Pizza Palace","philadelphia","blue-grass","$13","$1.35","80","36"
"New London Pizza","philadelphia","blue-grass","$10","$1","80","7"
"Big Ben Pizza","philadelphia","blue-grass","$10","$1.5","60","31"
"Dragon Phoenix House","philadelphia","blue-grass","$15","$2.5","70","24"
"Amy's Pizzeria","philadelphia","blue-grass","","$1.5","80","14"
"Drougie's Pizza & Restaurant","philadelphia","blue-grass","$5","$1","50","54"
"Szechuan King","philadelphia","blue-grass","$10","$1","70","11"
"Bellissima Pizza","philadelphia","blue-grass","$8","$1","70","12"
"Zesto Pizza & Grill","philadelphia","brewerytown","$10","$3","80","82"
"Pita Chip","philadelphia","brewerytown","$15","$2.99","90","70"
"Giovani's Falafel Bar & Grill","philadelphia","brewerytown","$10","","80","85"
"Lazos Pizza & Grill","philadelphia","brewerytown","$10","$1.5","80","116"
"Indian Cuisine","philadelphia","brewerytown","$15","","80","86"
"Scoop Deville","philadelphia","brewerytown","$15","$2","80","323"
"Pho 20","philadelphia","brewerytown","$9","$1.99","80","75"
"Eatalia","philadelphia","brewerytown","$10","$1","80","124"
"Tandoor India- Fishtown","philadelphia","brewerytown","$15","","80","120"
"Tiffin Indian Cuisine","philadelphia","brewerytown","$15","","70","278"
"Sakura","philadelphia","brewerytown","$10","$1","70","111"
"Lemon Grass Thai Restaurant","philadelphia","brewerytown","$20","$2","70","175"
"Rich City Chinese Restaurant","philadelphia","brewerytown","$10","$1","70","99"
"Trio","philadelphia","brewerytown","$15","$2","70","154"
"New China","philadelphia","brewerytown","$11","$1.25","70","21"
"Seiko Japanese Restaurant","philadelphia","brewerytown","$20","$1","70","86"
"Thai Singha House","philadelphia","brewerytown","$15","$2","70","61"
"Moju's Family Pizzeria","philadelphia","brewerytown","$10","$2","80","12"
"goBrands Philadelphia","philadelphia","brewerytown","$9","$1.95","70","51"
"Tortas Pizza: Él Sabor de Mi Tierra","philadelphia","brewerytown","$10","$2","80","10"
"Giovani's Falafel Bar & Grill","philadelphia","bridesburg","$10","","80","85"
"Eatalia","philadelphia","bridesburg","$10","$1","80","124"
"Tandoor India- Fishtown","philadelphia","bridesburg","$15","","80","120"
"Philly's Seafood","philadelphia","bridesburg","$10","$2","80","17"
"Rich City Chinese Restaurant","philadelphia","bridesburg","$10","$1","70","99"
"New London Pizza","philadelphia","bridesburg","$15","$1.25","70","18"
"Dragon Phoenix House","philadelphia","bridesburg","$15","$2.5","70","24"
"Classic Pizza","philadelphia","bridesburg","$7","$1.5","70","12"
"Moju's Family Pizzeria","philadelphia","bridesburg","$10","$2","80","12"
"Pizzeria Cappelli","philadelphia","bridesburg","$10","$2","70","48"
"Pizza Bolis","philadelphia","bridesburg","$10","$2","80","4"
"Pagano's Steaks & Shakes","philadelphia","bridesburg","$10","$2","60","13"
"You Ring We Bring Pizza","philadelphia","bridesburg","$10","$1","60","11"
"Papa Sam Pizza","philadelphia","bridesburg","$8","$1.5","70","4"
"Dragon City Restaurant","philadelphia","bridesburg","$12","$1.5","60","14"
"China Rainbow Restaurant","philadelphia","bridesburg","$10","$1.25","60","12"
"New Station Pizza","philadelphia","bridesburg","$5","$1","60","6"
"Yummy Yummy","philadelphia","bridesburg","$15","","60","10"
"Wok & Roast","philadelphia","bridesburg","$12","$2","60","12"
"Lo Chinese Restaurant","philadelphia","bridesburg","$10","$1.5","50","6"
"Al-Sham Restaurant","philadelphia","burholme","$10","$2","80","107"
"Suzani Restaurant","philadelphia","burholme","$20","","80","46"
"Philly's Seafood","philadelphia","burholme","$10","$2","80","17"
"Big Daddy Pizza","philadelphia","burholme","$5","$1.5","70","31"
"Jean's Pizzeria & Grill","philadelphia","burholme","$10","$1","70","18"
"Four Seasons Diner","philadelphia","burholme","$5","$2","70","116"
"Mega Quality Pizza","philadelphia","burholme","$10","$1","80","9"
"Fat Jack's BBQ - Philadelphia","philadelphia","burholme","$15","$3","70","109"
"Best In Town Pizza","philadelphia","burholme","$15","$2","70","23"
"Big Ben Pizza","philadelphia","burholme","$10","$1.5","60","31"
"New London Pizza","philadelphia","burholme","$15","$1.25","70","18"
"Original George's Burgers","philadelphia","burholme","$10","$3","60","29"
"Dragon Phoenix House","philadelphia","burholme","$15","$2.5","70","24"
"Amy's Pizzeria","philadelphia","burholme","","$1.5","80","14"
"Drougie's Pizza & Restaurant","philadelphia","burholme","$5","$1","50","54"
"Szechuan King","philadelphia","burholme","$10","$1","70","11"
"Bellissima Pizza","philadelphia","burholme","$8","$1","70","12"
"Happy Panda","philadelphia","burholme","$10","$1","70","9"
"Mojo's Pizza & Chicken","philadelphia","burholme","$10","$1.5","60","19"
"Pagano's Steaks & Shakes","philadelphia","burholme","$10","$2","60","13"
"TO-KAI Sushi & Steakhouse","philadelphia","bustleton","$25","","80","146"
"Wasabi Sushi","philadelphia","bustleton","$15","","80","32"
"Suzani Restaurant","philadelphia","bustleton","$20","","80","46"
"Big Daddy Pizza","philadelphia","bustleton","$5","$1.5","70","31"
"Mega Quality Pizza","philadelphia","bustleton","$10","$1","80","9"
"Fat Jack's BBQ - Philadelphia","philadelphia","bustleton","$15","$3","70","109"
"Best In Town Pizza","philadelphia","bustleton","$15","$2","70","23"
"Big Ben Pizza","philadelphia","bustleton","$10","$1.5","60","31"
"Dolce Pizzeria & Italian","philadelphia","bustleton","$10","$1.5","70","18"
"Dragon Phoenix House","philadelphia","bustleton","$15","$2.5","70","24"
"Amy's Pizzeria","philadelphia","bustleton","","$1.5","80","14"
"Szechuan King","philadelphia","bustleton","$10","$1","70","11"
"Jin Jin Restaurant","philadelphia","bustleton","$15","$1","70","38"
"8 Diamonds Pizza","philadelphia","bustleton","$10","$1","60","14"
"Muscle Maker Grill","philadelphia","bustleton","","$1.5","60","58"
"Originals Italian Restaurant & Bar","philadelphia","bustleton","$10","$1","60","21"
"NO.1 China","philadelphia","bustleton","$10","$1.5","80","4"
"Happy Panda","philadelphia","bustleton","$10","$1","70","9"
"No. 1 China","philadelphia","bustleton","$10","$1","60","11"
"Mojo's Pizza & Chicken","philadelphia","bustleton","$10","$1.5","60","19"
"Zesto Pizza & Grill","philadelphia","callowhill","$10","$3","80","82"
